timestamp,BTC: Price,timestamp,BTC: MVRV Ratio,timestamp,Signal Reached,timestamp,MVRV - 1,timestamp,All-time-Average,timestamp,Extreme Upside Deviation μ + 1σ,timestamp,Extreme Downside Deviation μ - 1σ
,,2009-01-03T00:00:00.000Z,1,2009-01-03T00:00:00.000Z,0,2009-01-03T00:00:00.000Z,0,2009-01-03T00:00:00.000Z,0,2009-01-03T00:00:00.000Z,0,2009-01-03T00:00:00.000Z,0
,,2009-01-04T00:00:00.000Z,1,2009-01-04T00:00:00.000Z,0,2009-01-04T00:00:00.000Z,0,2009-01-04T00:00:00.000Z,0,2009-01-04T00:00:00.000Z,0,2009-01-04T00:00:00.000Z,0
,,2009-01-05T00:00:00.000Z,1,2009-01-05T00:00:00.000Z,0,2009-01-05T00:00:00.000Z,0,2009-01-05T00:00:00.000Z,0,2009-01-05T00:00:00.000Z,0,2009-01-05T00:00:00.000Z,0
,,2009-01-06T00:00:00.000Z,1,2009-01-06T00:00:00.000Z,0,2009-01-06T00:00:00.000Z,0,2009-01-06T00:00:00.000Z,0,2009-01-06T00:00:00.000Z,0,2009-01-06T00:00:00.000Z,0
,,2009-01-07T00:00:00.000Z,1,2009-01-07T00:00:00.000Z,0,2009-01-07T00:00:00.000Z,0,2009-01-07T00:00:00.000Z,0,2009-01-07T00:00:00.000Z,0,2009-01-07T00:00:00.000Z,0
,,2009-01-08T00:00:00.000Z,1,2009-01-08T00:00:00.000Z,0,2009-01-08T00:00:00.000Z,0,2009-01-08T00:00:00.000Z,0,2009-01-08T00:00:00.000Z,0,2009-01-08T00:00:00.000Z,0
,,2009-01-09T00:00:00.000Z,1,2009-01-09T00:00:00.000Z,0,2009-01-09T00:00:00.000Z,0,2009-01-09T00:00:00.000Z,0,2009-01-09T00:00:00.000Z,0,2009-01-09T00:00:00.000Z,0
,,2009-01-10T00:00:00.000Z,1,2009-01-10T00:00:00.000Z,0,2009-01-10T00:00:00.000Z,0,2009-01-10T00:00:00.000Z,0,2009-01-10T00:00:00.000Z,0,2009-01-10T00:00:00.000Z,0
,,2009-01-11T00:00:00.000Z,1.0000000000000002,2009-01-11T00:00:00.000Z,2.2204460514707593e-16,2009-01-11T00:00:00.000Z,2.220446049250313e-16,2009-01-11T00:00:00.000Z,2.4671622769447922e-17,2009-01-11T00:00:00.000Z,9.445350982206014e-17,2009-01-11T00:00:00.000Z,-4.51102642831643e-17
,,2009-01-12T00:00:00.000Z,1.0000000000000002,2009-01-12T00:00:00.000Z,2.2204460514707593e-16,2009-01-12T00:00:00.000Z,2.220446049250313e-16,2009-01-12T00:00:00.000Z,4.4408920985006264e-17,2009-01-12T00:00:00.000Z,1.332267629550188e-16,2009-01-12T00:00:00.000Z,-4.4408920985006264e-17
,,2009-01-13T00:00:00.000Z,1,2009-01-13T00:00:00.000Z,0,2009-01-13T00:00:00.000Z,0,2009-01-13T00:00:00.000Z,4.0371746350005693e-17,2009-01-13T00:00:00.000Z,1.2601315318730253e-16,2009-01-13T00:00:00.000Z,-4.5269660487291134e-17
,,2009-01-14T00:00:00.000Z,1,2009-01-14T00:00:00.000Z,0,2009-01-14T00:00:00.000Z,0,2009-01-14T00:00:00.000Z,3.700743415417188e-17,2009-01-14T00:00:00.000Z,1.1975857259574766e-16,2009-01-14T00:00:00.000Z,-4.5743704287403884e-17
,,2009-01-15T00:00:00.000Z,1,2009-01-15T00:00:00.000Z,0,2009-01-15T00:00:00.000Z,0,2009-01-15T00:00:00.000Z,3.416070845000482e-17,2009-01-15T00:00:00.000Z,1.142746710903228e-16,2009-01-15T00:00:00.000Z,-4.595325419031317e-17
,,2009-01-16T00:00:00.000Z,1,2009-01-16T00:00:00.000Z,0,2009-01-16T00:00:00.000Z,0,2009-01-16T00:00:00.000Z,3.172065784643304e-17,2009-01-16T00:00:00.000Z,1.0942008387560552e-16,2009-01-16T00:00:00.000Z,-4.597876818273944e-17
,,2009-01-17T00:00:00.000Z,1,2009-01-17T00:00:00.000Z,0,2009-01-17T00:00:00.000Z,0,2009-01-17T00:00:00.000Z,2.960594732333751e-17,2009-01-17T00:00:00.000Z,1.0508659888338651e-16,2009-01-17T00:00:00.000Z,-4.5874704236711504e-17
,,2009-01-18T00:00:00.000Z,1.0000000000000002,2009-01-18T00:00:00.000Z,2.2204460514707593e-16,2009-01-18T00:00:00.000Z,2.220446049250313e-16,2009-01-18T00:00:00.000Z,4.163336342344337e-17,2009-01-18T00:00:00.000Z,1.2830012050544235e-16,2009-01-18T00:00:00.000Z,-4.503339365855561e-17
,,2009-01-19T00:00:00.000Z,1,2009-01-19T00:00:00.000Z,0,2009-01-19T00:00:00.000Z,0,2009-01-19T00:00:00.000Z,3.918434204559376e-17,2009-01-19T00:00:00.000Z,1.238321954573317e-16,2009-01-19T00:00:00.000Z,-4.546351136614417e-17
,,2009-01-20T00:00:00.000Z,1,2009-01-20T00:00:00.000Z,0,2009-01-20T00:00:00.000Z,0,2009-01-20T00:00:00.000Z,3.700743415417188e-17,2009-01-20T00:00:00.000Z,1.1975857259574766e-16,2009-01-20T00:00:00.000Z,-4.5743704287403884e-17
,,2009-01-21T00:00:00.000Z,1,2009-01-21T00:00:00.000Z,0,2009-01-21T00:00:00.000Z,0,2009-01-21T00:00:00.000Z,3.5059674461847047e-17,2009-01-21T00:00:00.000Z,1.1602652441483922e-16,2009-01-21T00:00:00.000Z,-4.5907175491145126e-17
,,2009-01-22T00:00:00.000Z,1,2009-01-22T00:00:00.000Z,0,2009-01-22T00:00:00.000Z,0,2009-01-22T00:00:00.000Z,3.3306690738754695e-17,2009-01-22T00:00:00.000Z,1.125924734395639e-16,2009-01-22T00:00:00.000Z,-4.597909196205452e-17
,,2009-01-23T00:00:00.000Z,1,2009-01-23T00:00:00.000Z,0,2009-01-23T00:00:00.000Z,0,2009-01-23T00:00:00.000Z,3.172065784643304e-17,2009-01-23T00:00:00.000Z,1.0942008387560552e-16,2009-01-23T00:00:00.000Z,-4.597876818273944e-17
,,2009-01-24T00:00:00.000Z,1.0000000000000002,2009-01-24T00:00:00.000Z,2.2204460514707593e-16,2009-01-24T00:00:00.000Z,2.220446049250313e-16,2009-01-24T00:00:00.000Z,4.0371746350005693e-17,2009-01-24T00:00:00.000Z,1.2601315318730253e-16,2009-01-24T00:00:00.000Z,-4.5269660487291134e-17
,,2009-01-25T00:00:00.000Z,1,2009-01-25T00:00:00.000Z,0,2009-01-25T00:00:00.000Z,0,2009-01-25T00:00:00.000Z,3.8616453030440226e-17,2009-01-25T00:00:00.000Z,1.227790611892772e-16,2009-01-25T00:00:00.000Z,-4.554615512839675e-17
,,2009-01-26T00:00:00.000Z,1,2009-01-26T00:00:00.000Z,0,2009-01-26T00:00:00.000Z,0,2009-01-26T00:00:00.000Z,3.700743415417188e-17,2009-01-26T00:00:00.000Z,1.1975857259574766e-16,2009-01-26T00:00:00.000Z,-4.5743704287403884e-17
